split,K,tau,theta
calibration,1.004585729696444,10.459568657059329,1.8088599782484496
calibration,0.9941850364531917,10.11417400667827,1.8416242549945956
calibration,0.9930671061888119,10.006387096447853,2.075305430193972
calibration,1.0009969130496092,10.077217625192233,2.0353227574261026
calibration,1.0072805442656427,10.515484983328243,1.8678772160506159
calibration,0.996309266829258,9.979569579928466,2.0189374616112254
calibration,0.9966514548362678,10.155147817699103,1.968554456795349
calibration,1.0099637654021383,10.45852971767408,2.0054062039471794
calibration,1.0087697098198245,10.364085885654404,2.0892931784455104
calibration,0.991591220096442,9.936764818765766,2.1032408573030286
calibration,1.0109086266038305,10.384278073637622,2.0501368869404892
calibration,1.0037757128333602,10.670355047441133,1.832887077293533
calibration,1.0079488762009492,10.528344964182649,1.8845305806860932
calibration,0.9818661711955153,9.706611746301563,2.0560710054620723
calibration,1.0061156905522506,10.04835079575496,2.3260990346452717
calibration,0.9839658068947393,9.66262984843655,2.142708510492244
calibration,0.9998303080361419,10.273769169996203,2.0000000001163523
calibration,0.9845722877806886,9.97911136372532,2.0101834982760396
calibration,0.9991741530605627,10.2025880157602,1.792168106353602
calibration,0.9717894132648862,9.374671645204298,2.099136656715228
calibration,0.9964778040974209,10.175648261527183,2.111446050262022
calibration,0.9894341883858967,9.954241491213656,2.0436668083462437
calibration,0.9725341095555184,9.782979894239856,1.9743498835793787
calibration,0.9931969006843119,10.203457153420711,1.9441455140845256
calibration,1.0085678805042988,10.325790409496914,2.0396794437207286
calibration,1.0014690521868803,10.267728870869004,2.0044918638529547
calibration,1.0025850194190515,10.344602249919678,1.8885922997624356
calibration,0.9950544628376824,10.029948754993985,2.0000000448495316
calibration,0.9779958050391011,9.714426459493653,1.9464006920483437
calibration,0.9843881304867216,9.66722470357036,2.1405900874151627
calibration,0.981838594185782,9.804897264796015,2.0000000320060516
calibration,0.9965230476330722,10.11047612409003,1.9390060042471702
calibration,1.018750823910693,11.101341611003553,1.9127048300781702
calibration,1.0196603513798248,10.890988235436646,1.9544491766645837
calibration,0.9863839014615352,9.87296470394147,1.9555137657461397
calibration,1.0015481427765007,10.211394963441492,2.0234036343657404
calibration,0.9893675144779768,9.908946333355235,1.9999998839003827
calibration,1.0115181351391203,10.619315867214109,1.9999999912523632
calibration,0.9851361269783476,9.731590062691845,2.0904192893398945
calibration,0.9975767366175717,10.122074950893218,1.9142422831896437
calibration,0.9846898450132546,9.615319991757172,1.99999999263507
calibration,1.014695257387041,10.733771838304646,1.8001716542458466
calibration,0.994513799651139,9.920720440151781,2.05935321093767
calibration,0.9921955744396166,9.688257971831776,2.0911940143890915
calibration,0.9769236250702373,9.47265726362679,2.234057662335074
calibration,0.9811999625849903,9.633675765757705,2.1631045474671593
calibration,0.9861437547316804,10.163652856704633,1.8378217001520123
calibration,0.9777866770339702,9.714796359784332,2.042251000229717
calibration,0.974341282370902,9.747304981539795,2.062136183719093
calibration,0.9964986723742393,10.426469220954688,1.8667173627957394
calibration,1.0174048341028907,11.03712008972954,1.7916377023473968
calibration,1.0092194917579436,10.47070772035561,1.9242251739745502
calibration,0.991192218579182,9.980003255840868,1.8628852446889417
calibration,0.9901534137806401,10.098128094585665,2.100267752825352
calibration,0.9875041366731974,9.942124259150892,2.0494701370801605
calibration,1.0082669796152082,10.914159732830427,1.753608057130078
calibration,0.9866543078822116,9.787679280687689,2.2268976869498904
calibration,0.9875492753207562,9.731682365668858,2.0770111282406
calibration,0.9882977429814026,9.907988741972694,2.0842304291006553
calibration,0.9914667921305066,9.914671186667077,2.015455154693327
calibration,0.9993925114811146,10.624008469658108,1.7143951185804251
calibration,0.988123095575905,9.887090329876825,2.055739131811216
calibration,0.9977000749088177,10.093449250347861,2.142036597650663
calibration,0.9888138600520502,9.794050762893137,2.070388500215775
calibration,0.9743336617673265,9.55298343188867,2.1698352372410765
calibration,0.9883061739391112,9.90081563689444,2.0501005415982227
calibration,0.9957774684435128,10.143390968399505,1.9871455108933955
calibration,0.9935336433985601,10.264537147092835,1.8758808838975571
calibration,0.9914622125245028,9.77578630121784,2.139480275510212
calibration,1.0008760269280466,10.447323503512667,1.6988743404358966
calibration,1.0158842907323875,10.797645021309343,1.894563830302517
calibration,0.9819217406157396,9.77738530108238,2.024992034643196
calibration,0.9798996447566918,9.69893768391427,2.1094100549821526
calibration,0.9925179675784124,10.066098644637023,1.9351199604880052
calibration,1.0065134744946833,10.26713802674231,2.0558109997506993
calibration,0.9994005523929804,10.686089533925417,1.747302427616169
calibration,0.9880308853196204,9.957041987195566,1.9878023855313358
calibration,1.0039559257578858,10.162145075032639,2.0259543239703532
calibration,0.986525074549411,9.87942810024443,2.0797165038785965
calibration,1.0083654384299352,10.29030249374354,1.9854306312212238
calibration,0.9956729786632139,9.827658255526789,2.1016756469050404
calibration,1.0083354182405668,10.128221705151844,2.080095782614908
calibration,0.9901721883993077,10.032924900876676,2.0002188488892836
calibration,1.0076804170606413,10.37203988616974,1.8785841114933561
calibration,0.9747071397822119,9.388535784485308,2.128793236625336
calibration,0.9701418576997635,9.495226358416295,2.1513566795872645
calibration,1.0140829235253184,10.546396552838797,2.0201772880981204
calibration,1.012251929835646,10.587932540607474,1.8984104984841121
calibration,1.0036312716284441,10.053671395306166,2.241464522210518
calibration,0.9964012722137173,10.035345861760735,2.116310881956218
calibration,0.9685151294161478,9.415038970629228,2.0171986458887963
calibration,0.9926610787501112,9.94115837312971,2.05807416320233
calibration,0.9839259581805484,9.659873732547124,2.181115801789396
calibration,1.0030266824837164,10.675409394674917,1.7301146232581759
calibration,1.0003718496739207,9.955257913195023,2.149121177809739
calibration,0.9856363337521711,9.970594548944412,1.9410107208198755
calibration,0.9657503241560507,9.409583623636092,2.037305958155489
